ARIMA Order,Seasonal Order,AIC
"(0, 1, 0)","(0, 1, 0, 12)",373.5950732510919
"(0, 1, 0)","(0, 1, 1, 12)",364.21859069190106
"(0, 1, 0)","(0, 1, 2, 12)",363.2097013373693
"(0, 1, 0)","(0, 1, 3, 12)",365.0008439653982
"(0, 1, 0)","(1, 1, 0, 12)",360.69763244893437
"(0, 1, 0)","(1, 1, 1, 12)",362.05983262825225
"(0, 1, 0)","(1, 1, 2, 12)",363.7811570811808
"(0, 1, 0)","(1, 1, 3, 12)",365.5272920083391
"(0, 1, 0)","(2, 1, 0, 12)",361.2514026905282
"(0, 1, 0)","(2, 1, 1, 12)",363.22497846596025
"(0, 1, 0)","(2, 1, 2, 12)",365.2933599278232
"(0, 1, 0)","(2, 1, 3, 12)",367.2173307068671
"(0, 1, 1)","(0, 1, 0, 12)",358.50548528913396
"(0, 1, 1)","(0, 1, 1, 12)",350.93509005887137
"(0, 1, 1)","(0, 1, 2, 12)",351.1855539086225
"(0, 1, 1)","(0, 1, 3, 12)",353.26361662383914
"(0, 1, 1)","(1, 1, 0, 12)",349.50051824392096
"(0, 1, 1)","(1, 1, 1, 12)",351.50123338967273
"(0, 1, 1)","(1, 1, 2, 12)",353.5014585216292
"(0, 1, 1)","(1, 1, 3, 12)",355.50139889266205
"(0, 1, 1)","(2, 1, 0, 12)",351.4760714683099
"(0, 1, 1)","(2, 1, 1, 12)",352.0124369164143
"(0, 1, 1)","(2, 1, 2, 12)",354.0107750146939
"(0, 1, 1)","(2, 1, 3, 12)",356.85748617535444
"(0, 1, 2)","(0, 1, 0, 12)",352.1534815981682
"(0, 1, 2)","(0, 1, 1, 12)",345.90455882126287
"(0, 1, 2)","(0, 1, 2, 12)",347.00395061414594
"(0, 1, 2)","(0, 1, 3, 12)",348.8222973927256
"(0, 1, 2)","(1, 1, 0, 12)",345.7853903951672
"(0, 1, 2)","(1, 1, 1, 12)",347.7524903017736
"(0, 1, 2)","(1, 1, 2, 12)",349.4567670326036
"(0, 1, 2)","(1, 1, 3, 12)",350.41948926568955
"(0, 1, 2)","(2, 1, 0, 12)",343.45956781799345
"(0, 1, 2)","(2, 1, 1, 12)",345.5291834871151
"(0, 1, 2)","(2, 1, 2, 12)",347.92033725825985
"(0, 1, 2)","(2, 1, 3, 12)",349.65171029574225
"(0, 1, 3)","(0, 1, 0, 12)",352.93432642563704
"(0, 1, 3)","(0, 1, 1, 12)",344.92183663430626
"(0, 1, 3)","(0, 1, 2, 12)",344.7949633103016
"(0, 1, 3)","(0, 1, 3, 12)",346.8343705212501
"(0, 1, 3)","(1, 1, 0, 12)",343.1570095066601
"(0, 1, 3)","(1, 1, 1, 12)",345.1594585199996
"(0, 1, 3)","(1, 1, 2, 12)",347.1544153092794
"(0, 1, 3)","(1, 1, 3, 12)",349.14890735230944
"(0, 1, 3)","(2, 1, 0, 12)",343.40008346218514
"(0, 1, 3)","(2, 1, 1, 12)",345.38684851873035
"(0, 1, 3)","(2, 1, 2, 12)",347.4343415467258
"(0, 1, 3)","(2, 1, 3, 12)",350.6968857442487
"(1, 1, 0)","(0, 1, 0, 12)",370.0464110959673
"(1, 1, 0)","(0, 1, 1, 12)",361.7811157184258
"(1, 1, 0)","(0, 1, 2, 12)",361.0410155162004
"(1, 1, 0)","(0, 1, 3, 12)",362.76327820910745
"(1, 1, 0)","(1, 1, 0, 12)",358.6788019885977
"(1, 1, 0)","(1, 1, 1, 12)",360.6574740056354
"(1, 1, 0)","(1, 1, 2, 12)",362.21436829307936
"(1, 1, 0)","(1, 1, 3, 12)",364.1555040746714
"(1, 1, 0)","(2, 1, 0, 12)",359.9125744882185
"(1, 1, 0)","(2, 1, 1, 12)",361.90257403333123
"(1, 1, 0)","(2, 1, 2, 12)",363.92698855003704
"(1, 1, 0)","(2, 1, 3, 12)",365.9266372280424
"(1, 1, 1)","(0, 1, 0, 12)",359.2387731294615
"(1, 1, 1)","(0, 1, 1, 12)",352.1099870610613
"(1, 1, 1)","(0, 1, 2, 12)",352.5940382150077
"(1, 1, 1)","(0, 1, 3, 12)",354.633008441614
"(1, 1, 1)","(1, 1, 0, 12)",351.0587389444746
"(1, 1, 1)","(1, 1, 1, 12)",353.0566511639606
"(1, 1, 1)","(1, 1, 2, 12)",355.0504815294363
"(1, 1, 1)","(1, 1, 3, 12)",357.0439202988033
"(1, 1, 1)","(2, 1, 0, 12)",352.47206425949776
"(1, 1, 1)","(2, 1, 1, 12)",352.56170510672337
"(1, 1, 1)","(2, 1, 2, 12)",354.81837838756326
"(1, 1, 1)","(2, 1, 3, 12)",356.76256862393257
"(1, 1, 2)","(0, 1, 0, 12)",354.02130838922096
"(1, 1, 2)","(0, 1, 1, 12)",347.4868725033367
"(1, 1, 2)","(0, 1, 2, 12)",348.48207459601576
"(1, 1, 2)","(0, 1, 3, 12)",350.38438578661226
"(1, 1, 2)","(1, 1, 0, 12)",347.2308793432186
"(1, 1, 2)","(1, 1, 1, 12)",349.19631993740535
"(1, 1, 2)","(1, 1, 2, 12)",350.94200407304334
"(1, 1, 2)","(1, 1, 3, 12)",352.05155117101884
"(1, 1, 2)","(2, 1, 0, 12)",345.37993006955065
"(1, 1, 2)","(2, 1, 1, 12)",347.5182951546215
"(1, 1, 2)","(2, 1, 2, 12)",349.6118464502871
"(1, 1, 2)","(2, 1, 3, 12)",351.434209697713
"(1, 1, 3)","(0, 1, 0, 12)",353.9458616250711
"(1, 1, 3)","(0, 1, 1, 12)",347.6732165633074
"(1, 1, 3)","(0, 1, 2, 12)",348.46085952855066
"(1, 1, 3)","(0, 1, 3, 12)",350.4537529769561
"(1, 1, 3)","(1, 1, 0, 12)",344.5902246429552
"(1, 1, 3)","(1, 1, 1, 12)",349.0350079965991
"(1, 1, 3)","(1, 1, 2, 12)",350.8438609803202
"(1, 1, 3)","(1, 1, 3, 12)",352.1779369917035
"(1, 1, 3)","(2, 1, 0, 12)",346.7417407548595
"(1, 1, 3)","(2, 1, 1, 12)",348.52032981981614
"(1, 1, 3)","(2, 1, 2, 12)",350.8742105967362
"(1, 1, 3)","(2, 1, 3, 12)",352.53740467038665
"(2, 1, 0)","(0, 1, 0, 12)",368.2019348895613
"(2, 1, 0)","(0, 1, 1, 12)",359.4261038134843
"(2, 1, 0)","(0, 1, 2, 12)",358.8496964489172
"(2, 1, 0)","(0, 1, 3, 12)",360.69214772721574
"(2, 1, 0)","(1, 1, 0, 12)",356.385416512591
"(2, 1, 0)","(1, 1, 1, 12)",358.35813000818797
"(2, 1, 0)","(1, 1, 2, 12)",359.3179451934157
"(2, 1, 0)","(1, 1, 3, 12)",361.05768440430825
"(2, 1, 0)","(2, 1, 0, 12)",356.9948524054632
"(2, 1, 0)","(2, 1, 1, 12)",358.99171065622363
"(2, 1, 0)","(2, 1, 2, 12)",360.8750589367867
"(2, 1, 0)","(2, 1, 3, 12)",362.8627262524391
"(2, 1, 1)","(0, 1, 0, 12)",358.22319677786254
"(2, 1, 1)","(0, 1, 1, 12)",350.56448348746613
"(2, 1, 1)","(0, 1, 2, 12)",350.69379540279283
"(2, 1, 1)","(0, 1, 3, 12)",352.6848896603842
"(2, 1, 1)","(1, 1, 0, 12)",349.6430282433568
"(2, 1, 1)","(1, 1, 1, 12)",351.57289547657354
"(2, 1, 1)","(1, 1, 2, 12)",353.26911354062264
"(2, 1, 1)","(1, 1, 3, 12)",354.54320722540837
"(2, 1, 1)","(2, 1, 0, 12)",348.9136281652026
"(2, 1, 1)","(2, 1, 1, 12)",350.925863230151
"(2, 1, 1)","(2, 1, 2, 12)",352.9084804509245
"(2, 1, 1)","(2, 1, 3, 12)",355.3214990694856
"(2, 1, 2)","(0, 1, 0, 12)",352.4106218683649
"(2, 1, 2)","(0, 1, 1, 12)",344.7652240984515
"(2, 1, 2)","(0, 1, 2, 12)",345.1108753782225
"(2, 1, 2)","(0, 1, 3, 12)",347.042322109214
"(2, 1, 2)","(1, 1, 0, 12)",344.5739596544773
"(2, 1, 2)","(1, 1, 1, 12)",345.51580514287883
"(2, 1, 2)","(1, 1, 2, 12)",347.93491359133105
"(2, 1, 2)","(1, 1, 3, 12)",348.782204694384
"(2, 1, 2)","(2, 1, 0, 12)",342.55026846801394
"(2, 1, 2)","(2, 1, 1, 12)",344.2441998463776
"(2, 1, 2)","(2, 1, 2, 12)",346.3277285594837
"(2, 1, 2)","(2, 1, 3, 12)",348.3336369961498
"(2, 1, 3)","(0, 1, 0, 12)",355.87273107606825
"(2, 1, 3)","(0, 1, 1, 12)",349.5866943424611
"(2, 1, 3)","(0, 1, 2, 12)",350.64652376128237
"(2, 1, 3)","(0, 1, 3, 12)",352.50338809215526
"(2, 1, 3)","(1, 1, 0, 12)",348.84763400436094
"(2, 1, 3)","(1, 1, 1, 12)",350.85929238260206
"(2, 1, 3)","(1, 1, 2, 12)",352.86277716883046
"(2, 1, 3)","(1, 1, 3, 12)",354.8453938876753
"(2, 1, 3)","(2, 1, 0, 12)",348.29116359948426
"(2, 1, 3)","(2, 1, 1, 12)",350.2358410307686
"(2, 1, 3)","(2, 1, 2, 12)",352.9073508939726
"(2, 1, 3)","(2, 1, 3, 12)",355.03244303340637
